Agglomeration_ID,Agglomeration_Name,Country,AU_Regions,ISO3,Longitude,Latitude,Altitude,Population_2015,Density_2015,Builtup,Distance to metro,Closest Metro,Voronoi,Population_1950,Population_1960,Population_1970,Population_1980,Population_1990,Population_2000,Population_2010,pop_growth
1,Cairo,Egypt,North Africa,EGY,31.255,30.13,24,"22,995,802",12960,1774.41,0,Cairo,901,"2,561,779","3,877,835","5,706,767","7,662,514","9,934,584","11,901,302","16,179,873",93.2
2,Lagos,Nigeria,West Africa,NGA,3.316,6.668,43,"11,847,635",10839,1093.08,0,Lagos,622,"288,895","822,320","1,487,000","2,690,000","4,865,000","7,241,000","10,778,000",63.6
3,Onitsha,Nigeria,West Africa,NGA,7.072,5.815,98,"8,530,514",3146,2711.89,0,Onitsha,646,"73,075","156,772","248,000","392,000","620,000","1,450,000","6,351,000",488.3
4,Johannesburg,South Africa,Southern Africa,ZAF,28.202,-26.05,1630,"8,314,220",3755,2214.06,0,Johannesburg,1054,"875,527","1,602,286","2,168,025","2,909,020","3,344,532","4,109,030","7,180,906",102.3
5,Kinshasa,Democratic Republic of the Congo,Central Africa,COD,15.371,-4.408,309,"7,270,000",16924,429.58,0,Kinshasa,2179,"155,428","451,149","1,249,348","2,098,741","3,632,507","4,425,321","5,750,000",64.3
6,Luanda,Angola,Southern Africa,AGO,13.3,-8.924,91,"6,979,211",7233,964.85,0,Luanda,6932,"141,700","224,600","475,328","770,602","1,224,292","1,919,042","5,140,000",263.7
7,Alexandria,Egypt,North Africa,EGY,30.586,31.125,1,"6,585,102",16810,391.74,128,Cairo,61,"1,025,064","1,496,294","1,906,849","2,397,002","2,911,878","3,244,955","4,459,402",102.9
8,Nairobi aggl.,Kenya,East Africa,KEN,36.858,-1.181,1645,"5,877,118",4385,1340.26,0,Nairobi aggl.,619,"138,433","295,220","532,044","863,549","1,383,199","3,024,034","4,362,570",94.3
9,Dar es Salaam,Tanzania,East Africa,TZA,39.103,-6.807,158,"5,325,879",5000,1065.11,0,Dar es Salaam,1151,"78,643","159,469","352,367","790,173","1,227,792","2,210,295","3,944,106",141
10,Khartum,Sudan,East Africa,SDN,32.527,15.522,383,"5,264,746",6492,810.99,0,Khartum,433,"229,376","342,728","664,291","1,184,383","2,165,249","3,454,407","4,664,746",52.4
11,Kisumu aggl.,Kenya,East Africa,KEN,34.915,0.37,1645,"5,040,159",860,5862.59,0,Kisumu aggl.,3379,"12,165","21,077","37,282","155,881","201,886","332,416","3,682,449",1416.2
12,Abidjan,Cote d`Ivoire,West Africa,CIV,-3.997,5.368,66,"4,717,347",12054,391.35,0,Abidjan,1009,"63,811","224,605","580,844","1,251,272","2,107,460","3,044,942","4,108,908",54.9
13,Accra,Ghana,West Africa,GHA,-0.178,5.657,66,"4,452,483",3718,1197.69,0,Accra,835,"158,196","337,800","624,091","854,659","1,185,614","2,167,932","3,882,529",105.4
14,Casablanca,Morocco,North Africa,MAR,-7.634,33.539,79,"4,182,929",7936,527.05,0,Casablanca,384,"675,564","965,277","1,432,085","1,991,113","2,496,472","2,848,576","3,321,785",46.8
15,Yaoundé,Cameroon,Central Africa,CMR,11.541,3.93,710,"3,901,680",11837,329.63,0,Yaoundé,1811,"37,000","69,800","192,900","401,225","831,238","1,388,402","2,327,217",181
16,Kano,Nigeria,West Africa,NGA,8.532,11.998,482,"3,888,582",13790,281.98,0,Kano,380,"123,664","213,063","390,000","715,000","1,311,000","2,052,000","3,211,000",89.5
17,Alger,Algeria,North Africa,DZA,3.051,36.765,74,"3,886,202",4079,952.76,0,Alger,359,"429,493","738,668","1,151,144","1,523,198","1,808,780","2,177,453","3,058,460",78.5
18,Kampala,Uganda,East Africa,UGA,32.596,0.291,1203,"3,790,894",4227,896.73,0,Kampala,1014,"31,955","134,848","340,185","459,594","861,110","1,465,531","2,420,281",158.7
